(epoch 0 itr 20), unsupervised loss is 0.016401, L1 loss is 6.307871, loss is 0.032170
(epoch 0 itr 40), unsupervised loss is 0.014211, L1 loss is 5.715580, loss is 0.028500
(epoch 0 itr 60), unsupervised loss is 0.015167, L1 loss is 5.613831, loss is 0.029202
(epoch 0 itr 80), unsupervised loss is 0.011974, L1 loss is 5.637342, loss is 0.026067
(epoch 0 itr 100), unsupervised loss is 0.015035, L1 loss is 5.638409, loss is 0.029131
(epoch 0 itr 120), unsupervised loss is 0.012972, L1 loss is 5.735704, loss is 0.027311
(epoch 0 itr 140), unsupervised loss is 0.009888, L1 loss is 6.334812, loss is 0.025725
(epoch 0 itr 160), unsupervised loss is 0.012436, L1 loss is 5.590030, loss is 0.026411
(epoch 0 itr 180), unsupervised loss is 0.011591, L1 loss is 6.466661, loss is 0.027758
(epoch 0 itr 200), unsupervised loss is 0.009772, L1 loss is 5.868299, loss is 0.024443
(epoch 0 itr 220), unsupervised loss is 0.010139, L1 loss is 6.002332, loss is 0.025145
(epoch 0 itr 240), unsupervised loss is 0.010095, L1 loss is 5.929533, loss is 0.024919
(epoch 0 itr 260), unsupervised loss is 0.012042, L1 loss is 5.647773, loss is 0.026162
(epoch 0 itr 280), unsupervised loss is 0.008987, L1 loss is 5.749064, loss is 0.023360
(epoch 0 itr 300), unsupervised loss is 0.011092, L1 loss is 5.867336, loss is 0.025761
(epoch 0 itr 320), unsupervised loss is 0.008279, L1 loss is 5.983944, loss is 0.023239
(epoch 0 itr 340), unsupervised loss is 0.010181, L1 loss is 5.577142, loss is 0.024124
(epoch 0 itr 360), unsupervised loss is 0.009013, L1 loss is 5.970289, loss is 0.023939
(epoch 0 itr 380), unsupervised loss is 0.008821, L1 loss is 5.826896, loss is 0.023389
(epoch 0 itr 400), unsupervised loss is 0.008963, L1 loss is 5.932051, loss is 0.023793
(epoch 0 itr 420), unsupervised loss is 0.011879, L1 loss is 5.884166, loss is 0.026590
(epoch 0 itr 440), unsupervised loss is 0.009018, L1 loss is 5.886801, loss is 0.023735
(epoch 0 itr 460), unsupervised loss is 0.010858, L1 loss is 5.712900, loss is 0.025140
(epoch 0 itr 480), unsupervised loss is 0.010551, L1 loss is 5.597794, loss is 0.024546
(epoch 0 itr 500), unsupervised loss is 0.010117, L1 loss is 5.875194, loss is 0.024805
(epoch 1 itr 20), unsupervised loss is 0.010954, L1 loss is 6.190269, loss is 0.026430
(epoch 1 itr 40), unsupervised loss is 0.008366, L1 loss is 6.337518, loss is 0.024210
(epoch 1 itr 60), unsupervised loss is 0.010120, L1 loss is 5.955705, loss is 0.025010
(epoch 1 itr 80), unsupervised loss is 0.012193, L1 loss is 5.829614, loss is 0.026767
(epoch 1 itr 100), unsupervised loss is 0.010797, L1 loss is 5.531922, loss is 0.024627
(epoch 1 itr 120), unsupervised loss is 0.007972, L1 loss is 5.638363, loss is 0.022068
(epoch 1 itr 140), unsupervised loss is 0.010541, L1 loss is 5.955731, loss is 0.025430
(epoch 1 itr 160), unsupervised loss is 0.008929, L1 loss is 5.903878, loss is 0.023688
(epoch 1 itr 180), unsupervised loss is 0.008134, L1 loss is 5.801137, loss is 0.022637
(epoch 1 itr 200), unsupervised loss is 0.007944, L1 loss is 5.794740, loss is 0.022431
(epoch 1 itr 220), unsupervised loss is 0.007387, L1 loss is 6.136150, loss is 0.022727
(epoch 1 itr 240), unsupervised loss is 0.009682, L1 loss is 5.635915, loss is 0.023772
(epoch 1 itr 260), unsupervised loss is 0.008977, L1 loss is 5.757267, loss is 0.023370
(epoch 1 itr 280), unsupervised loss is 0.014094, L1 loss is 6.009722, loss is 0.029118
(epoch 1 itr 300), unsupervised loss is 0.009479, L1 loss is 5.820205, loss is 0.024030
(epoch 1 itr 320), unsupervised loss is 0.009301, L1 loss is 5.698856, loss is 0.023548
(epoch 1 itr 340), unsupervised loss is 0.010763, L1 loss is 5.850501, loss is 0.025389
(epoch 1 itr 360), unsupervised loss is 0.008024, L1 loss is 5.976034, loss is 0.022964
(epoch 1 itr 380), unsupervised loss is 0.008265, L1 loss is 5.746614, loss is 0.022632
(epoch 1 itr 400), unsupervised loss is 0.009275, L1 loss is 5.689145, loss is 0.023498
(epoch 1 itr 420), unsupervised loss is 0.009427, L1 loss is 5.675587, loss is 0.023616
(epoch 1 itr 440), unsupervised loss is 0.008320, L1 loss is 5.902684, loss is 0.023077
(epoch 1 itr 460), unsupervised loss is 0.009389, L1 loss is 6.432776, loss is 0.025471
(epoch 1 itr 480), unsupervised loss is 0.009181, L1 loss is 5.916201, loss is 0.023972
(epoch 1 itr 500), unsupervised loss is 0.007463, L1 loss is 6.232183, loss is 0.023043
(epoch 2 itr 20), unsupervised loss is 0.012073, L1 loss is 5.514395, loss is 0.025859
(epoch 2 itr 40), unsupervised loss is 0.007949, L1 loss is 5.665207, loss is 0.022112
(epoch 2 itr 60), unsupervised loss is 0.007913, L1 loss is 6.487123, loss is 0.024131
(epoch 2 itr 80), unsupervised loss is 0.007437, L1 loss is 6.250488, loss is 0.023064
(epoch 2 itr 100), unsupervised loss is 0.008627, L1 loss is 5.367685, loss is 0.022046
(epoch 2 itr 120), unsupervised loss is 0.008515, L1 loss is 5.876696, loss is 0.023207
(epoch 2 itr 140), unsupervised loss is 0.008956, L1 loss is 5.720658, loss is 0.023258
(epoch 2 itr 160), unsupervised loss is 0.011273, L1 loss is 5.717795, loss is 0.025567
(epoch 2 itr 180), unsupervised loss is 0.007137, L1 loss is 6.201614, loss is 0.022641
(epoch 2 itr 200), unsupervised loss is 0.008316, L1 loss is 6.015373, loss is 0.023355
(epoch 2 itr 220), unsupervised loss is 0.008515, L1 loss is 6.246586, loss is 0.024131
(epoch 2 itr 240), unsupervised loss is 0.008788, L1 loss is 5.720969, loss is 0.023091
(epoch 2 itr 260), unsupervised loss is 0.007984, L1 loss is 6.126759, loss is 0.023301
(epoch 2 itr 280), unsupervised loss is 0.007760, L1 loss is 5.864899, loss is 0.022422
(epoch 2 itr 300), unsupervised loss is 0.009083, L1 loss is 5.957275, loss is 0.023976
(epoch 2 itr 320), unsupervised loss is 0.007770, L1 loss is 5.663456, loss is 0.021929
(epoch 2 itr 340), unsupervised loss is 0.008146, L1 loss is 5.868390, loss is 0.022817
(epoch 2 itr 360), unsupervised loss is 0.009586, L1 loss is 5.635698, loss is 0.023675
(epoch 2 itr 380), unsupervised loss is 0.007554, L1 loss is 5.704300, loss is 0.021815
(epoch 2 itr 400), unsupervised loss is 0.009474, L1 loss is 6.047593, loss is 0.024593
(epoch 2 itr 420), unsupervised loss is 0.007306, L1 loss is 5.564074, loss is 0.021217
(epoch 2 itr 440), unsupervised loss is 0.007304, L1 loss is 5.811681, loss is 0.021833
(epoch 2 itr 460), unsupervised loss is 0.007907, L1 loss is 5.646446, loss is 0.022023
(epoch 2 itr 480), unsupervised loss is 0.007435, L1 loss is 5.933286, loss is 0.022268
(epoch 2 itr 500), unsupervised loss is 0.007156, L1 loss is 6.224048, loss is 0.022716
(epoch 3 itr 20), unsupervised loss is 0.007597, L1 loss is 5.932432, loss is 0.022428
(epoch 3 itr 40), unsupervised loss is 0.009777, L1 loss is 5.646489, loss is 0.023893
(epoch 3 itr 60), unsupervised loss is 0.008171, L1 loss is 5.743220, loss is 0.022529
(epoch 3 itr 80), unsupervised loss is 0.007827, L1 loss is 5.596165, loss is 0.021817
(epoch 3 itr 100), unsupervised loss is 0.006414, L1 loss is 6.263851, loss is 0.022074
(epoch 3 itr 120), unsupervised loss is 0.007364, L1 loss is 6.196045, loss is 0.022854
(epoch 3 itr 140), unsupervised loss is 0.008703, L1 loss is 5.836124, loss is 0.023294
(epoch 3 itr 160), unsupervised loss is 0.010065, L1 loss is 6.029402, loss is 0.025138
(epoch 3 itr 180), unsupervised loss is 0.008823, L1 loss is 5.739660, loss is 0.023173
(epoch 3 itr 200), unsupervised loss is 0.008147, L1 loss is 5.895372, loss is 0.022886
(epoch 3 itr 220), unsupervised loss is 0.007854, L1 loss is 6.071931, loss is 0.023034
(epoch 3 itr 240), unsupervised loss is 0.009880, L1 loss is 5.690719, loss is 0.024107
(epoch 3 itr 260), unsupervised loss is 0.006340, L1 loss is 5.979441, loss is 0.021288
