(epoch 0 itr 20), unsupervised loss is 0.030806, perceptual loss is 6.456111, loss is 0.056631
(epoch 0 itr 40), unsupervised loss is 0.026818, perceptual loss is 5.428416, loss is 0.048532
(epoch 0 itr 60), unsupervised loss is 0.027261, perceptual loss is 6.972028, loss is 0.055149
(epoch 0 itr 80), unsupervised loss is 0.025262, perceptual loss is 5.208496, loss is 0.046096
(epoch 0 itr 100), unsupervised loss is 0.034630, perceptual loss is 5.819339, loss is 0.057907
(epoch 0 itr 120), unsupervised loss is 0.027650, perceptual loss is 6.956513, loss is 0.055477
(epoch 0 itr 140), unsupervised loss is 0.027808, perceptual loss is 7.575864, loss is 0.058112
(epoch 0 itr 160), unsupervised loss is 0.031523, perceptual loss is 6.855981, loss is 0.058947
(epoch 0 itr 180), unsupervised loss is 0.036275, perceptual loss is 10.645263, loss is 0.078856
(epoch 0 itr 200), unsupervised loss is 0.047398, perceptual loss is 11.362458, loss is 0.092848
(epoch 0 itr 220), unsupervised loss is 0.026386, perceptual loss is 5.390880, loss is 0.047950
(epoch 0 itr 240), unsupervised loss is 0.033555, perceptual loss is 9.994141, loss is 0.073531
(epoch 1 itr 20), unsupervised loss is 0.033567, perceptual loss is 10.014274, loss is 0.073624
(epoch 1 itr 40), unsupervised loss is 0.026811, perceptual loss is 5.296999, loss is 0.047999
(epoch 1 itr 60), unsupervised loss is 0.026008, perceptual loss is 6.690939, loss is 0.052772
(epoch 1 itr 80), unsupervised loss is 0.027532, perceptual loss is 6.095325, loss is 0.051913
(epoch 1 itr 100), unsupervised loss is 0.038213, perceptual loss is 8.211975, loss is 0.071061
(epoch 1 itr 120), unsupervised loss is 0.021727, perceptual loss is 4.763376, loss is 0.040780
(epoch 1 itr 140), unsupervised loss is 0.028827, perceptual loss is 5.170976, loss is 0.049511
(epoch 1 itr 160), unsupervised loss is 0.024453, perceptual loss is 6.318126, loss is 0.049725
(epoch 1 itr 180), unsupervised loss is 0.025488, perceptual loss is 6.095905, loss is 0.049872
(epoch 1 itr 200), unsupervised loss is 0.025370, perceptual loss is 6.553613, loss is 0.051585
(epoch 1 itr 220), unsupervised loss is 0.031074, perceptual loss is 7.316726, loss is 0.060341
(epoch 1 itr 240), unsupervised loss is 0.027814, perceptual loss is 7.276221, loss is 0.056919
(epoch 2 itr 20), unsupervised loss is 0.032124, perceptual loss is 8.703293, loss is 0.066937
(epoch 2 itr 40), unsupervised loss is 0.028212, perceptual loss is 9.173036, loss is 0.064904
(epoch 2 itr 60), unsupervised loss is 0.029310, perceptual loss is 6.978851, loss is 0.057225
(epoch 2 itr 80), unsupervised loss is 0.025156, perceptual loss is 6.876845, loss is 0.052663
(epoch 2 itr 100), unsupervised loss is 0.025022, perceptual loss is 6.171354, loss is 0.049708
(epoch 2 itr 120), unsupervised loss is 0.027939, perceptual loss is 6.268128, loss is 0.053012
(epoch 2 itr 140), unsupervised loss is 0.020326, perceptual loss is 5.387297, loss is 0.041876
(epoch 2 itr 160), unsupervised loss is 0.023592, perceptual loss is 6.448768, loss is 0.049387
(epoch 2 itr 180), unsupervised loss is 0.033140, perceptual loss is 9.062429, loss is 0.069390
(epoch 2 itr 200), unsupervised loss is 0.023750, perceptual loss is 5.349571, loss is 0.045149
(epoch 2 itr 220), unsupervised loss is 0.023596, perceptual loss is 4.101923, loss is 0.040004
(epoch 2 itr 240), unsupervised loss is 0.022196, perceptual loss is 4.492013, loss is 0.040164
(epoch 3 itr 20), unsupervised loss is 0.029221, perceptual loss is 9.463297, loss is 0.067074
(epoch 3 itr 40), unsupervised loss is 0.023158, perceptual loss is 6.403517, loss is 0.048772
(epoch 3 itr 60), unsupervised loss is 0.024343, perceptual loss is 4.240030, loss is 0.041303
(epoch 3 itr 80), unsupervised loss is 0.021168, perceptual loss is 5.258136, loss is 0.042201
(epoch 3 itr 100), unsupervised loss is 0.025457, perceptual loss is 8.253456, loss is 0.058471
(epoch 3 itr 120), unsupervised loss is 0.020583, perceptual loss is 3.912782, loss is 0.036234
(epoch 3 itr 140), unsupervised loss is 0.029007, perceptual loss is 5.292264, loss is 0.050176
(epoch 3 itr 160), unsupervised loss is 0.027374, perceptual loss is 6.448469, loss is 0.053168
(epoch 3 itr 180), unsupervised loss is 0.023174, perceptual loss is 6.303564, loss is 0.048388
(epoch 3 itr 200), unsupervised loss is 0.023180, perceptual loss is 5.978426, loss is 0.047094
(epoch 3 itr 220), unsupervised loss is 0.025677, perceptual loss is 4.780523, loss is 0.044800
(epoch 3 itr 240), unsupervised loss is 0.027822, perceptual loss is 5.593562, loss is 0.050196
(epoch 4 itr 20), unsupervised loss is 0.030566, perceptual loss is 7.182998, loss is 0.059298
(epoch 4 itr 40), unsupervised loss is 0.025205, perceptual loss is 6.709199, loss is 0.052042
(epoch 4 itr 60), unsupervised loss is 0.021652, perceptual loss is 5.259689, loss is 0.042691
(epoch 4 itr 80), unsupervised loss is 0.025225, perceptual loss is 6.410665, loss is 0.050867
(epoch 4 itr 100), unsupervised loss is 0.029890, perceptual loss is 8.076957, loss is 0.062198
(epoch 4 itr 120), unsupervised loss is 0.025704, perceptual loss is 5.801743, loss is 0.048911
(epoch 4 itr 140), unsupervised loss is 0.026846, perceptual loss is 7.125517, loss is 0.055348
(epoch 4 itr 160), unsupervised loss is 0.027713, perceptual loss is 6.489096, loss is 0.053670
(epoch 4 itr 180), unsupervised loss is 0.020091, perceptual loss is 4.181043, loss is 0.036815
(epoch 4 itr 200), unsupervised loss is 0.027314, perceptual loss is 7.005226, loss is 0.055335
(epoch 4 itr 220), unsupervised loss is 0.021361, perceptual loss is 4.667654, loss is 0.040032
(epoch 4 itr 240), unsupervised loss is 0.025229, perceptual loss is 6.738844, loss is 0.052185
(epoch 5 itr 20), unsupervised loss is 0.030781, perceptual loss is 4.307968, loss is 0.048013
(epoch 5 itr 40), unsupervised loss is 0.028010, perceptual loss is 6.569469, loss is 0.054288
(epoch 5 itr 60), unsupervised loss is 0.023974, perceptual loss is 6.098639, loss is 0.048368
(epoch 5 itr 80), unsupervised loss is 0.029703, perceptual loss is 7.601568, loss is 0.060109
(epoch 5 itr 100), unsupervised loss is 0.022208, perceptual loss is 4.227483, loss is 0.039117
(epoch 5 itr 120), unsupervised loss is 0.020536, perceptual loss is 4.312174, loss is 0.037785
(epoch 5 itr 140), unsupervised loss is 0.019488, perceptual loss is 4.331635, loss is 0.036814
(epoch 5 itr 160), unsupervised loss is 0.023154, perceptual loss is 5.350500, loss is 0.044556
(epoch 5 itr 180), unsupervised loss is 0.034837, perceptual loss is 10.458185, loss is 0.076669
